program_id	name	description	status
archipielago-vivo	Archipiélago Vivo	Presentaciones de personas, colectivos, espacios y proyectos incluidos en el mapa de Archipiélago Vivo.	Activo
territorio-en-tension	Territorio en tensión	Conflictos territoriales, presión turística, urbanización, defensa del territorio y movilización ciudadana.	Activo
agua-y-mar	Agua y mar	Agua, saneamiento, vertidos, océano, costa, agricultura y formas de adaptación a la escasez hídrica.	Activo
vivienda	Vivienda	Derecho a la vivienda, alquiler, vivienda vacacional, especulación y dificultades de acceso residencial.	Activo
investigacion	Investigación	Periodismo de investigación sobre decisiones públicas, territorio, economía y conflictos socioambientales.	Activo
cuidados	Cuidados	Sanidad, educación, servicios públicos y condiciones sociales que sostienen la vida.	Activo
trabajo-y-modelo	Trabajo y modelo económico	Trabajo, sector primario, producción, desigualdad y dependencia económica.	Activo
memoria-indigena	Memoria indígena	Historia y patrimonio de las poblaciones indígenas de Canarias y sus pervivencias culturales.	Activo
saberes	Saberes	Oficios, técnicas, artesanía, agricultura y conocimientos tradicionales de las islas.	Activo
archivo	Archivo	Material histórico y audiovisual para observar las transformaciones sociales, económicas y territoriales de Canarias.	Activo
islas-vivas	Islas vivas	Naturaleza, biodiversidad, paisaje y relaciones entre conservación, sociedad y territorio.	Activo
movilidad	Movilidad	Transporte público, dependencia del vehículo privado, movilidad insular y accesibilidad.	Activo
alternativas	Alternativas	Experiencias, políticas, proyectos y modelos que muestran otras formas posibles de abordar problemas sociales, económicos y ambientales.	Activo
